	gene_id	gene_name	l_prior
0	AT4G03190	AFB1	0
1	AT3G26810	AFB2	0
2	AT1G12820	AFB3	0
3	AT1G80100	AHP6	2
4	AT4G37750	ANT	-1
5	AT1G59750	ARF1	-1
6	AT4G30080	ARF16	-1
7	AT1G77850	ARF17	-1
8	AT3G61830	ARF18	2
9	AT1G19220	ARF19	-1
10	AT5G62000	ARF2	-1
11	AT5G60450	ARF4	1
12	AT1G30330	ARF6	1
13	AT5G20730	ARF7	1
14	AT5G37020	ARF8	-1
15	AT4G23980	ARF9	2
16	AT4G32880	ATHB8	0
17	AT2G38120	AUX1	0
18	AT1G54990	AXR4	0
19	AT4G33430	BAK1	2
20	AT5G17430	BBM	-1
21	AT1G04550	BDL	0
22	AT3G02260	BIG/ASA1	0
23	AT4G39400	BRI1	0
24	AT1G76540	CDKB2;1	0
25	AT3G63440	CKX6	-1
26	AT2G23380	CLF	0
27	AT1G75820	CLV1	0
28	AT1G65380	CLV2	2
29	AT1G52150	CNA	2
30	AT4G11140	CRF1	2
31	AT4G23750	CRF2	2
32	AT5G53290	CRF3	2
33	AT1G76420	CUC3	0
34	AT1G80370	CYCA2;4	0
35	AT4G37490	CYCB1;1	0
36	AT2G22490	CYCD2;1	0
37	AT1G70210	CYCD1;1	0
38	AT4G34160	CYCD3;1	0
39	AT4G03270	CYCD6;1	0
40	AT5G02470	DPA	0
41	AT2G36010	E2FA	0
42	AT1G47870	E2FC	0
43	AT4G38210	EXPA20	0
44	AT2G39700	EXPA4	0
45	AT4G01630	EXPA17	0
46	AT5G56320	EXPA14	2
47	AT1G26870	FEZ	2
48	AT5G26930	GATA23	1
49	AT3G54610	GCN5	0
50	AT2G14960	GH3.1	0
51	AT1G28130	GH3.17	0
52	AT2G23170	GH3.3	0
53	AT4G27260	GH3.5	0
54	AT5G54510	GH3.6	-1
55	AT4G14560	IAA1	-1
56	AT4G28640	IAA11	-1
57	AT2G33310	IAA13	-1
58	AT1G51950	IAA18	-1
59	AT3G15540	IAA19	-1
60	AT3G23030	IAA2	-1
61	AT5G25890	IAA28	-1
62	AT4G32280	IAA29	-1
63	AT1G15580	IAA5	2
64	AT5G03150	JKD	2
65	AT5G16560	KAN1	2
66	AT5G42630	KAN4	0
67	AT3G50630	KRP2	0
68	AT1G77690	LAX3	2
69	AT2G42430	LBD16	2
70	AT2G42440	LBD17	2
71	AT2G45420	LBD18	2
72	AT3G58190	LBD29	2
73	AT5G06080	LBD33	2
74	AT1G31320	LBD4	1
75	AT2G27230	LHW	2
76	AT5G12330	LRP1	0
77	AT4G31820	MAB4	0
78	AT4G37590	MEL1	0
79	AT5G67440	MEL2	0
80	AT2G23050	MEL4	2
81	AT1G03840	MGP	1
82	AT1G19850	MP	2
83	AT2G34710	PHB	2
84	AT1G30490	PHV	0
85	AT2G34650	PID	0
86	AT2G26700	PID2	0
87	AT1G73590	PIN1	0
88	AT5G57090	PIN2	0
89	AT1G70940	PIN3	0
90	AT2G01420	PIN4	0
91	AT1G23080	PIN7	0
92	AT3G28860	PGP19	0
93	AT2G47000	PGP4	-1
94	AT2G25170	PKL	2
95	AT3G20840	PLT1	2
96	AT1G51190	PLT2	2
97	AT5G10510	PLT3	2
98	AT5G57390	PLT5	2
99	AT5G65510	PLT7	2
100	AT5G18560	PUCHI	0
101	AT3G12280	RBR1	2
102	AT5G60690	REV	2
103	AT3G54220	SCR	2
104	AT3G58780	SHP1	2
105	AT4G37650	SHR	-1
106	AT1G04240	SHY2	-1
107	AT4G14550	SLR	2
108	AT1G79580	SMB	0
109	AT3G62980	TIR1	2
110	AT3G25710	TMO5	2
111	AT5G60200	TMO6	2
112	AT1G74500	TMO7	0
113	AT1G53700	WAG1	0
114	AT3G14370	WAG2	0
115	AT4G13260	YUC2	0
116	AT1G04610	YUC3	0
117	AT5G43890	YUC5	0
118	AT5G25620	YUC6	0
119	AT4G28720	YUC8	2
120	AT1G79840	GL2	2
121	AT1G63650	EGL3	2
122	AT4G21750	ATML1	2
123	AT5G14750	WER	2
124	AT1G17950	MYB52	2
125	AT5G65230	MYB53	2
126	AT5G17800	MYB56	-1
127	AT5G43170	ZF3	2
128	AT2G46130	WRKY43	2
129	AT1G64000	WKRY56	2
130	AT1G16060	WRI3	2
131	AT1G68880	bZIP8	2
132	AT2G42360	U-box	2
133	AT3G11280	AT3G11280	2
134	AT1G14510	AL7	2
135	AT1G32240	KAN2	2
136	AT2G30590	WRKY21	2
137	AT2G36930	AT2G36930	2
138	AT3G44750	ATHD2A	2
139	AT3G50870	HAN	2
140	AT4G04890	PDF2	2
141	AT4G37780	ATMYB87	2
142	AT5G05610	AL1	2
143	AT5G39550	ORTH1	2
144	AT5G64610	HAM1	2
145	AT1G67105	ASCO	2
146	AT2G34655	APOLO	2
147	AT5G00580	MARS	2
148	AT5G38005	LCA	2
149	AT1G08925	LAM	2
150	AT3G03315	BRO	2
151	AT3G61198	BAP	2
152	AT1G09745	CAL	2
153	AT1G09605	PYKA	2
154	AT1G09925	ABRA	2
155	AT3G12965	SF23	2
156	AT2G14878	CYCA	2
